recorded_at_local_time,target_city,station_code,station_name,station_latitude,station_longitude,api_time,aqi,pm25,pm10,no2,so2,co,o3,temperature,humidity,pressure,wind,collection_time_utc
2026-05-22 12:13:31,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",26.05374,91.86796,2026-05-22 17:15:00,67,39,67,0,1,11,,,,,,
2026-05-22 19:16:19,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",26.05374,91.86796,2026-05-23 00:15:00,95,39,95,0,1,2,,,,,,
2026-05-22 23:49:25,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",26.05374,91.86796,2026-05-23 04:45:00,88,39,88,0,1,1,,,,,,
2026-05-23 06:57:46,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",26.05374,91.86796,2026-05-23 10:45:00,68,39,68,0,1,0,,,,,,
2026-06-27 15:20:49,Byrnihat,A1364707,"15th Mile-Nongthymmai, Byrnihat",26.05374,91.86796,2026-06-23 09:30:00,-,168,36,0,0,1,,,,,,2026-06-27 15:20:49.255590+00:00
