0,recorded_at_local_time,target_city,station_code,station_name,station_latitude,station_longitude,api_time,aqi,pm25,pm10,no2,so2,co,o3,temperature,humidity,pressure,wind,collection_time_utc
,2026-05-22 12:13:32,Shillong,H12740,"Lumpyngngad, Shillong, India",25.5586,91.8985,2026-05-22 17:00:00,16.0,,,0.2,4.9,1.5,16.1,22.97,74.5,83.62,5.22,
,2026-05-22 19:16:20,Shillong,H12740,"Lumpyngngad, Shillong, India",25.5586,91.8985,2026-05-23 00:00:00,22.0,,,0.1,4.6,1.2,21.9,19.22,89.11,83.64,13.3,
,2026-05-22 23:49:26,Shillong,H12740,"Lumpyngngad, Shillong, India",25.5586,91.8985,2026-05-23 05:00:00,22.0,,,0.1,4.7,1.2,22.4,19.4475,88.11500000000001,83.6075,13.5025,
,2026-05-23 06:57:47,Shillong,H12740,"Lumpyngngad, Shillong, India",25.5586,91.8985,2026-05-23 12:00:00,22.0,,,0.1,4.4,1.1,22.0,19.0375,74.04750000000001,83.7725,19.51,
,2026-06-27 23:10:14,Shillong,H12740,"Lumpyngngad, Shillong, India",25.5586,91.8985,2026-06-23 10:00:00,21.0,,,0.1,4.8,1.9,21.0,21.77333333333333,78.54,83.44666666666666,11.086666666666666,2026-06-27 23:10:14.558547+00:00
,,,,,,,,,,,,,,,,,,,
