0,recorded_at_local_time,target_city,station_code,station_name,station_latitude,station_longitude,api_time,aqi,pm25,pm10,no2,so2,co,o3,temperature,humidity,pressure,wind,collection_time_utc
,2026-05-22 12:13:32,Guwahati,H11844,"Railway Colony, Guwahati, India",26.181742,91.78063,2026-05-22 17:00:00,111.0,111.0,47.0,,14.3,0.1,0.1,32.0,67.64,1100.0,1.59,
,2026-05-22 19:16:20,Guwahati,H11844,"Railway Colony, Guwahati, India",26.181742,91.78063,2026-05-23 00:00:00,90.0,90.0,38.0,,13.1,0.1,0.1,27.0,33.52,1100.0,0.36,
,2026-05-22 23:49:26,Guwahati,H11844,"Railway Colony, Guwahati, India",26.181742,91.78063,2026-05-23 05:00:00,70.0,70.0,25.0,,12.8,0.1,0.1,26.0,37.59,1100.0,1.045,
,2026-05-23 06:57:46,Guwahati,H11844,"Railway Colony, Guwahati, India",26.181742,91.78063,2026-05-23 12:00:00,50.0,50.0,16.0,,12.7,0.1,0.1,27.0,63.71,1100.0,0.725,
,2026-06-27 15:20:49,Guwahati,H11844,"Railway Colony, Guwahati, India",26.181742,91.78063,2026-06-23 10:00:00,87.0,87.0,38.0,,15.0,,0.2,29.0,70.82333333333334,600.0,1.6766666666666665,2026-06-27 15:20:49.823968+00:00
,,,,,,,,,,,,,,,,,,,
